Uid,year,name,type,who,Nart,link
urn:nir:stato:decreto.legislativo:1988;539,1988,Decreto legislativo 22 dicembre 539/1988,decreto.legislativo,stato,2,http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1988;539
urn:nir:stato:decreto.legislativo:1988;509,1988,Decreto legislativo 23 novembre 509/1988,decreto.legislativo,stato,12,http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1988;509
urn:nir:stato:decreto.legislativo:1988;478,1988,Decreto legislativo 9 novembre 478/1988,decreto.legislativo,stato,1,http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1988;478
urn:nir:stato:decreto.legislativo:1989;434,1989,Decreto legislativo 28 dicembre 434/1989,decreto.legislativo,stato,5,http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1989;434
urn:nir:stato:decreto.legislativo:1989;433,1989,Decreto legislativo 28 dicembre 433/1989,decreto.legislativo,stato,7,http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1989;433
urn:nir:stato:decreto.legislativo:1989;432,1989,Decreto legislativo 28 dicembre 432/1989,decreto.legislativo,stato,1,http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1989;432
urn:nir:stato:decreto.legislativo:1989;431,1989,Decreto legislativo 28 dicembre 431/1989,decreto.legislativo,stato,6,http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1989;431
urn:nir:stato:decreto.legislativo:1989;430,1989,Decreto legislativo 28 dicembre 430/1989,decreto.legislativo,stato,7,http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1989;430
urn:nir:stato:decreto.legislativo:1989;418,1989,Decreto legislativo 16 dicembre 418/1989,decreto.legislativo,stato,9,http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1989;418
urn:nir:stato:decreto.legislativo:1989;385,1989,Decreto legislativo 2 dicembre 385/1989,decreto.legislativo,stato,1,http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1989;385
urn:nir:stato:decreto.legislativo:1989;372,1989,Decreto legislativo 17 novembre 372/1989,decreto.legislativo,stato,1,http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1989;372
urn:nir:stato:decreto.legislativo:1989;351,1989,Decreto legislativo 30 ottobre 351/1989,decreto.legislativo,stato,2,http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1989;351
urn:nir:stato:decreto.legislativo:1989;322,1989,Decreto legislativo 6 settembre 322/1989,decreto.legislativo,stato,27,http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1989;322
urn:nir:stato:decreto.legislativo:1989;276,1989,Decreto legislativo 4 agosto 276/1989,decreto.legislativo,stato,1,http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1989;276
urn:nir:stato:decreto.legislativo:1989;273,1989,Decreto legislativo 28 luglio 273/1989,decreto.legislativo,stato,24,http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1989;273
urn:nir:stato:decreto.legislativo:1989;272,1989,Decreto legislativo 28 luglio 272/1989,decreto.legislativo,stato,34,http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1989;272
urn:nir:stato:decreto.legislativo:1989;271,1989,Decreto legislativo 28 luglio 271/1989,decreto.legislativo,stato,323,http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1989;271
urn:nir:stato:decreto.legislativo:1989;259,1989,Decreto legislativo 21 luglio 259/1989,decreto.legislativo,stato,2,http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1989;259
urn:nir:stato:decreto.legislativo:1989;241,1989,Decreto legislativo 30 giugno 241/1989,decreto.legislativo,stato,1,http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1989;241
